valid score sequences on n=8: 167
  score [2, 2, 2, 3, 3, 5, 5, 6]: 63 iso classes  (1821.5s elapsed)
  score [2, 2, 2, 3, 4, 4, 4, 7]: 22 iso classes  (1833.6s elapsed)
  score [2, 2, 2, 3, 4, 4, 5, 6]: 199 iso classes  (1845.7s elapsed)
  score [2, 2, 2, 3, 4, 5, 5, 5]: 112 iso classes  (1858.0s elapsed)
  score [2, 2, 2, 4, 4, 4, 4, 6]: 29 iso classes  (1870.1s elapsed)
  score [2, 2, 2, 4, 4, 4, 5, 5]: 84 iso classes  (1882.2s elapsed)
  score [2, 2, 3, 3, 3, 3, 5, 7]: 15 iso classes  (1894.3s elapsed)
  score [2, 2, 3, 3, 3, 3, 6, 6]: 15 iso classes  (1906.4s elapsed)
  score [2, 2, 3, 3, 3, 4, 4, 7]: 47 iso classes  (1918.6s elapsed)
  score [2, 2, 3, 3, 3, 4, 5, 6]: 308 iso classes  (1930.7s elapsed)
  score [2, 2, 3, 3, 3, 5, 5, 5]: 84 iso classes  (1943.1s elapsed)
  score [2, 2, 3, 3, 4, 4, 4, 6]: 236 iso classes  (1955.4s elapsed)
  score [2, 2, 3, 3, 4, 4, 5, 5]: 565 iso classes  (1967.4s elapsed)
  score [2, 2, 3, 4, 4, 4, 4, 5]: 291 iso classes  (1979.6s elapsed)
  score [2, 2, 4, 4, 4, 4, 4, 4]: 15 iso classes  (1994.7s elapsed)
  score [2, 3, 3, 3, 3, 3, 4, 7]: 15 iso classes  (2007.1s elapsed)
  score [2, 3, 3, 3, 3, 3, 5, 6]: 50 iso classes  (2019.5s elapsed)
  score [2, 3, 3, 3, 3, 4, 4, 6]: 182 iso classes  (2031.8s elapsed)
  score [2, 3, 3, 3, 3, 4, 5, 5]: 291 iso classes  (2044.2s elapsed)
  score [2, 3, 3, 3, 4, 4, 4, 5]: 577 iso classes  (2056.5s elapsed)
  score [2, 3, 3, 4, 4, 4, 4, 4]: 131 iso classes  (2069.4s elapsed)
  score [3, 3, 3, 3, 3, 3, 3, 7]: 3 iso classes  (2082.6s elapsed)
  score [3, 3, 3, 3, 3, 3, 4, 6]: 20 iso classes  (2095.8s elapsed)
  score [3, 3, 3, 3, 3, 3, 5, 5]: 15 iso classes  (2110.7s elapsed)
  score [3, 3, 3, 3, 3, 4, 4, 5]: 131 iso classes  (2123.7s elapsed)
  score [3, 3, 3, 3, 4, 4, 4, 4]: 85 iso classes  (2138.2s elapsed)

Total iso classes on n=8: 6880
Score-uniquely-determined (SUD): 31
Strongly-connected AND SUD (SC-SUD): 0
Non-SC SUD: 31
Total time: 2138.2s
